Sr No ,Recipe Name,Ingredients,Veg/Non_Veg,Procedure,No of people,Cook Time
1,Sev Puri,"Puris, Boiled Potatoes, Chopped Onions, Tomato, Sev, Chat Masala, Tamarind Chutney, Green Chutney",Veg,"Arrange puris on a serving plate. Make a hole in the center of each puri. Fill the puris with a mixture of boiled potatoes, chopped onions, and tomatoes. Drizzle tamarind chutney and green chutney over the puris. Sprinkle chaat masala and salt to taste. Garnish with chopped cilantro and sev. Serve immediately.",4,15 mins
2,Vegetable Biryani,"Basmati rice, Mixed vegetables (carrots, peas, beans), Onions, Tomatoes, Ginger-garlic paste, Biryani masala, Mint leaves, Coriander leaves, Ghee, Cashews, Raisins",Veg,"Cook rice and vegetables separately. Sauté onions, add tomatoes, ginger-garlic paste, biryani masala, and mix with cooked rice and vegetables. Garnish with mint leaves, coriander leaves, and fried cashews and raisins.",4,40 mins
3,Paneer Tikka,"Paneer cubes, Yogurt, Ginger-garlic paste, Red chili powder, Garam masala, Lemon juice, Salt, Onion slices, Bell pepper slices",Veg,"Marinate paneer cubes in yogurt, ginger-garlic paste, red chili powder, garam masala, lemon juice, and salt. Skewer paneer, onion slices, and bell pepper slices. Grill until paneer is golden. Serve hot.",4,30 mins
4,Chicken Curry,"Chicken pieces, Onions, Tomatoes, Ginger-garlic paste, Red chili powder, Turmeric powder, Garam masala, Coriander leaves, Oil, Salt",Non_veg,"Sauté onions, add ginger-garlic paste, tomatoes, red chili powder, turmeric powder, and garam masala. Add chicken pieces, cook until done. Garnish with coriander leaves. Serve with rice or naan.",4,45 mins
5,Chocolate Cake,"All-purpose flour, Cocoa powder, Sugar, Baking powder, Baking soda, Eggs, Milk, Oil, Vanilla extract",Non_veg,"Mix dry ingredients. Add eggs, milk, oil, and vanilla extract. Mix well. Bake in a preheated oven. Let it cool. Frost with chocolate icing if desired",8,35 mins
6,Spaghetti Bolognese,"Spaghetti, Ground beef, Onion, Garlic, Tomato sauce, Red wine, Olive oil, Oregano, Basil, Salt, Parmesan cheese",Non_veg,"Cook spaghetti. Sauté ground beef, onions, and garlic. Add tomato sauce, red wine, olive oil, oregano, basil, and salt. Simmer. Serve over cooked spaghetti. Garnish with Parmesan cheese.",4,40 mins
7,Mango Salsa,"Mango, Red bell pepper, Red onion, Jalapeno, Lime juice, Cilantro, Salt",Veg,"Dice mango, red bell pepper, red onion, and jalapeno. Mix with lime juice, cilantro, and salt. Chill before serving. Enjoy with tortilla chips.",4,15 mins
8,Spinach and Feta Stuffed Chicken,"Chicken breasts, Spinach, Feta cheese, Garlic, Olive oil, Lemon juice, Salt, Peppe",Non_veg,"Butterfly chicken breasts. Mix spinach, feta, garlic, olive oil, lemon juice, salt, and pepper. Stuff into chicken. Bake until chicken is cooked through. Serve hot.",2,35 mins
9,Caprese Salad,"Tomatoes, Mozzarella cheese, Fresh basil leaves, Balsamic glaze, Olive oil, Salt, Pepper",Veg,Slice tomatoes and mozzarella. Arrange on a plate with fresh basil leaves. Drizzle with balsamic glaze and olive oil. Sprinkle with salt and pepper. Serve as a refreshing salad.,2,10 mins
10,Shrimp Scampi,"Shrimp, Linguine, Garlic, Butter, Olive oil, White wine, Lemon juice, Parsley, Salt, Pepper",Non_veg,"Cook linguine. Sauté shrimp and garlic in butter and olive oil. Add white wine, lemon juice, parsley, salt, and pepper. Toss with cooked linguine. Serve hot.",4,25 mins
